id,category,name_hr,name_en,name_zh,description_hr,description_en,description_zh,price,image,spicy_level,is_vegetarian
11,Appetizer,Salata od cikle,Traditional Red Beet Salad,红甜菜根沙拉,"**Domaća cikla** marinirana u blagom octu sa začinima. Bogata okusom, blago slatkasta i iznimno osvježavajuća.","**House-pickled red beets** marinated in a mild seasoned vinegar. Rich in flavor, slightly sweet, and extremely refreshing.","**自制腌红甜菜根**，浸泡在温和调味的醋汁中。风味浓郁，略带清甜，非常清爽解腻。","4.50",beet_salad.jpg,0,true
12,Appetizer,Salata od rajčice s lukom,Fresh Tomato Salad with Onions,洋葱鲜番茄沙拉,"**Salata od sočne domaće rajčice** narezane na ploške, posute svježim sjeckanim lukom i peršinom. Sve je začinjeno *ekstra djevičanskim maslinovim uljem* i našim *domaćim kvasinama*.","**Juicy local tomato salad** sliced and sprinkled with fresh chopped onions and parsley. Dressed with *extra virgin olive oil* and our *in-house fermented wine vinegar*.","**多汁本地番茄沙拉**切片，撒上新鲜洋葱碎和欧芹。淋上*特级初榨橄榄油*和*自制红酒醋*。","5.00",tomato_salad.jpg,0,true
13,Appetizer,Šopska salata,Šopska Salad,肖普斯卡沙拉,"**Osvježavajući klasik** s kockicama svježe rajčice, paprike, krastavaca i luka, obilno posut ribanim *feta sirom*. Začinjen kapljicama ekstra djevičanskog maslinovog ulja i domaćeg octa.","**Refreshing classic salad** featuring diced fresh tomatoes, peppers, cucumbers, and onions, generously topped with grated *feta cheese*. Dressed with extra virgin olive oil and house vinegar.","**经典清爽沙拉**，配以切丁的新鲜番茄、青椒、黄瓜 and 洋葱，上面铺满浓郁的*费塔奶酪碎*。淋上特级初榨橄榄油和自制醋。","6.50",sopska_salad.jpg,0,true
14,Appetizer,Salata od krastavaca s vrhnjem,Cucumber Salad in Sour Cream,酸奶油黄瓜沙拉,"**Tanko rezani svježi krastavci** u bogatom umaku od domaćeg kiselog vrhnja, začinjeni sa sitno sjeckanim *češnjakom* i crvenom paprikom za savršen balans.","**Thinly sliced fresh cucumbers** in a rich sour cream dressing, seasoned with finely minced *garlic* and a touch of sweet paprika.","**切成薄片的新鲜黄瓜**拌入浓郁的酸奶油酱中，用细碎的*大蒜* and 少许甜红椒粉调味。","5.50",cucumber_salad.jpg,0,true
15,Main,Svinjski kotleti na žaru,Grilled Pork Chops,香烤猪排,"**Svinjski kotleti na žaru** marinirani u domaćem začinskom bilju i polagano pečeni na drvenom ugljenu. Poslužuju se sočni uz luk i ajvar.","**Grilled pork chops** marinated in local herbs and slowly grilled over wood embers. Served juicy with onions and ajvar.","**香烤猪排**，用当地香草腌制，在木炭上慢火烤制。肉汁丰富，配以洋葱和爱瓦尔辣酱。","16.00",kotleti.jpg,0,false
16,Main,Punjeni svinjski lungić,Stuffed Pork Tenderloin,芝心培根卷猪里脊,"**Vrhunski svinjski lungić** punjen domaćom šunkom i topljenim sirom, omotan u hrskavu slaninu i pečen na roštilju. *Pravi gastronomski užitak*.","**Premium pork tenderloin** stuffed with local ham and melted cheese, wrapped in crispy bacon and grilled. *A true culinary delight*.","**特级猪里脊肉**，包裹着当地火腿和融化的奶酪，外面裹上脆皮培根后烤制。*真正的美食享受*。","19.50",pork_tenderloin.jpg,0,false
17,Main,Rustikalni burger u somunu,Rustic Burger in Somun,克罗地亚风味家常汉堡,"**Domaća pljeskavica** od stopostotne junetine u svježe pečenom somunu, poslužena s kajmakom, svježim lukom i rajčicom. Spoj tradicije i burger kulture.","**Homemade 100% beef patty** served in a freshly baked somun flatbread, topped with kajmak cream, fresh onions, and tomatoes.","**自制100%纯牛肉饼**，夹在刚出炉的口袋饼（Somun）中，配以凯马克干酪（Kajmak）、新鲜洋葱和番茄。","14.00",rustic_burger.jpg,0,false
18,Main,Filet Mignon na žaru,Grilled Filet Mignon,香烤菲力牛排,"**Najmekši dio junećeg bifteka** pečen na roštilju prema Vašoj želji. Poslužuje se s aromatiziranim maslacem od začinskog bilja.","**The tenderest cut of beef tenderloin** grilled to your preference. Served with aromatic homemade herb butter.","**最嫩的牛里脊肉**，根据您的喜好烤制。配以香气铺鼻的自制香草黄油。","32.00",filet_mignon.jpg,0,false
19,Main,Grilana orada,Grilled Sea Bream,炭烤金头鲷,"**Svježa jadranska orada** pečena na žaru s maslinovim uljem, poslužena uz tradicionalnu dalmatinsku blitvu s krumpirom.","**Fresh Adriatic sea bream** grilled over embers with olive oil, served with traditional Dalmatian chard and potatoes.","**新鲜亚得里亚金头鲷**，淋上橄榄油碳火慢烤，配以传统的达尔马提亚风味马铃薯拌甜菜。","22.00",sea_bream.jpg,0,false
20,Main,Grilani brancin,Grilled Sea Bass,碳烤海鲈鱼,"**Svježi jadranski brancin** pečen na roštilju, poslužen s preljevom od češnjaka, peršina i maslinovog ulja uz prilog od kuhane blitve i krumpira.","**Fresh Adriatic sea bass** grilled to perfection, dressed with a garlic, parsley, and olive oil mixture, served with boiled chard and potatoes.","**新鲜亚得里亚海鲈鱼**烤至完美，淋上大蒜、欧芹和橄榄油的特调酱汁，配以水煮甜菜和马铃薯。","23.00",sea_bass.jpg,0,false
21,Main,Đuveč riža s povrćem,Đuveč Rice with Vegetables,香焖蔬菜饭,"**Aromatizirana riža** kuhana s obiljem svježeg sezonskog povrća (rajčica, paprika, tikvice) u bogatom domaćem umaku. *Tradicionalan i ukusan prilog ili samostalno jelo*.","**Aromatic rice** simmered with fresh seasonal vegetables (tomatoes, peppers, zucchini) in a rich homemade sauce. *A delicious traditional side or main dish*.","**香气四溢的米饭**，加入新鲜时令蔬菜（番茄、彩椒、西葫芦）在浓郁的自制酱汁中慢火炖制。*美味的传统配菜或主食*。","5.00",djuvec_rice.jpg,0,true
22,Main,Zagorski štrukli,Zagorski Štrukli,扎戈列奶酪焗面卷,"**Tradicionalno zagorsko jelo** od tankog vučenog tijesta punjenog svježim kravljim sirom, prelijevano vrhnjem i zapečeno u pećnici dok ne poprimi zlatnu boju.","**Traditional Zagorje dish** made of thin pulled pastry filled with fresh cottage cheese, topped with cream and baked to a golden brown.","**扎戈列传统面食**，由薄拉面皮包裹新鲜农家干酪，淋上鲜奶油，烤至金黄色。","9.00",strukli.jpg,0,true
23,Main,Domaći burek (sir, kupus ili krumpir),Burek with Cheese, Cabbage, or Potato,传统千层咸饼（奶酪、卷心菜或土豆）,"**Hrskavo vučeno tijesto** punjeno po Vašem izboru: blagim kravljim sirom, pirjanim kupusom ili začinjenim krumpirom. *Pečeno do savršene hrskavosti*.","**Crispy rolled pastry** filled with your choice of: mild cottage cheese, sauteed cabbage, or seasoned spiced potatoes. *Baked to golden crispness*.","**金黄酥脆的千层饼**，可选择填料：温和农家干酪、清炒卷心菜或调味马铃薯。*烤至完美酥脆*。","6.50",burek.jpg,0,true
24,Appetizer,Pekarski krumpir iz pećnice,Baker's Potatoes,烤箱香烤土豆,"**Pološke krumpira** pečene u pećnici s komadićima luka, domaćom masti i začinima dok ne postanu zlatne i hrskave izvana, a meke iznutra.","**Potato slices** baked in the oven with onions, local lard, and herbs until golden and crispy on the outside, and tender on the inside.","**马铃薯片**与洋葱、当地猪油和香草一起在烤箱中烘烤，直到外表金黄酥脆，内部鲜嫩。","5.00",bakery_potatoes.jpg,0,true
25,Appetizer,Domaći pomfrit,French Fries,黄金炸薯条,"**Zlatni i hrskavi krumpirići**, prženi do savršenstva i blago posoljeni. *Omiljeni klasik za sve generacije*.","**Golden and crispy French fries**, fried to perfection and lightly salted. *A beloved classic for all generations*.","**金黄酥脆的炸薯条**，炸至完美并微盐调味。*深受各代人喜爱的经典小食*。","4.00",french_fries.jpg,0,true
26,Appetizer,Blitva na lešo s krumpirom,Mediterranean Swiss Chard and Potatoes,达尔马提亚甜菜马铃薯,"**Kuhani listovi svježe blitve** i krumpir, začinjeni domaćim ekstra djevičanskim maslinovim uljem i sitno sjeckanim *češnjakom*. *Najpoznatiji dalmatinski prilog*.","**Boiled fresh Swiss chard** and potatoes, dressed with domestic extra virgin olive oil and minced *garlic*. *The most famous Dalmatian side dish*.","**水煮新鲜瑞士甜菜**和马铃薯，拌入当地特级初榨橄榄油和碎*大蒜*。*最著名的达尔马提亚风味配菜*。","6.00",swiss_chard.jpg,0,true
27,Dessert,Domaće kremšnite,Kremšnite Custard Cream Cake,克雷姆什尼特吉士奶油蛋糕,"**Kultni samoborski desert** s bogatom, laganom kremom od jaja i pjenastim šlagom između dvije kore prhkog lisnatog tijesta, posut šećerom u prahu.","**Iconic custard cream cake** featuring a rich yet light egg custard and whipped cream layered between two crispy sheets of puff pastry, dusted with powdered sugar.","**标志性吉士奶油蛋糕**，在两层酥脆的千层酥皮之间夹入浓郁而轻盈的鸡蛋吉士酱 and 鲜奶油，最后撒上糖粉。","7.00",kremsnite.jpg,0,true
28,Dessert,Tarte Tatin s jabukama,Tarte Tatin,反转焦糖苹果塔,"**Klasik francuske kuhinje** - preokrenuti kolač s karameliziranim jabukama na prhkom tijestu. Poslužuje se topao uz kuglicu sladoleda od vanilije.","**French pastry classic** - upside-down tart with caramelized apples on a buttery crust. Served warm with a scoop of vanilla ice cream.","**法式经典糕点**——在黄油饼底上铺满焦糖苹果的反转苹果塔。温热上桌，配上一勺香草冰淇淋。","7.50",tarte_tatin.jpg,0,true
29,Dessert,Slatki burek od jabuka,Sweet Apple Burek,甜苹果千层酥饼,"**Slatka verzija tradicionalnog bureka** s bogatim nadjevom od pirjanih kiselkastih jabuka, cimeta i šećera, umotana u hrskavo lisnato tijesto.","**A sweet version of traditional burek** filled with sautéed tart apples, cinnamon, and sugar, wrapped in crispy rolled pastry sheets.","**传统千层饼的甜味版**，填入清炒酸苹果、肉桂和糖，用酥脆的千层饼皮包裹烘烤。","6.00",apple_burek.jpg,0,true
30,Main,Pizza Margherita,Pizza Margherita,玛格丽特披萨,"**Klasična napuljska pizza** s umakom od rajčice, svježom *mozzarellom*, maslinovim uljem i svježim listićima bosiljka.","**Classic Neapolitan pizza** with tomato sauce, fresh *mozzarella*, olive oil, and fresh basil leaves.","**经典那不勒斯披萨**，配番茄酱、新鲜*马苏里拉奶酪*、橄榄油和新鲜罗勒叶。","9.00",pizza_margherita.jpg,0,true
31,Main,Pizza Grb,Coat of Arms Pizza,国徽特制披萨,"**Gastronomski ponos kuće** - pizza posložena u obliku hrvatskog grba s poljima od pikantne *slavonske kobasice* i pršuta naspram nježnog bijelog *kozjeg sira*. Zaokruženo crnim maslinama.","**The culinary pride of the house** - a pizza arranged in the pattern of the Croatian coat of arms, featuring alternating checkers of spicy *Slavonian sausage* and prosciutto against mild white *goat cheese*. Finished with black olives.","**本店招牌美食**——披萨呈克罗地亚国徽图案排列，红白相间的格子里填满香辣*斯拉沃尼亚香肠*和普修托火腿，与温和的白*山羊奶酪*相得益彰，并点缀黑橄榄。","14.50",pizza_grb.jpg,0,false
32,Main,Slavonska pizza,Slavonian Pizza,斯拉沃尼亚风味披萨,"**Bogata domaća pizza** s umakom od rajčice, sirom, pikantnim *kulenom*, pancetom, ljutim feferonima i obilnim žlicama svježeg *kiselog vrhnja*. *Za ljubitelje pikantnih okusa*.","**Rich domestic pizza** with tomato sauce, cheese, spicy *kulen* sausage, bacon, hot pepperoni, and dollops of fresh *sour cream*. *For lovers of fiery flavors*.","**富庶的当地披萨**，配番茄酱、奶酪、香辣*库伦香肠*、培根、辣椒和新鲜的*酸奶油*。*香辣口味爱好者者的福音*。","12.50",pizza_slavonska.jpg,2,false
33,Main,Pizza Capricciosa,Pizza Capricciosa,卡普里乔莎披萨,"**Omiljeni klasik** s umakom od rajčice, topljenim sirom, finom *kuhanom šunkom* i svježim šampinjonima iz uzgoja.","**A popular classic** with tomato sauce, melted cheese, fine *cooked ham*, and fresh cultivated mushrooms.","**备受喜爱的经典**披萨，配番茄酱、融化的奶酪、精选*熟火腿*和新鲜培育的双孢菇。","10.50",pizza_capricciosa.jpg,0,false
34,Main,Vegetarijanska pizza,Vegetarian Pizza,素食什锦披萨,"**Šareni vrt na tijestu** - umak od rajčice, sir, grilane tikvice, paprika, kukuruz šećerac, rajčice i svježa *divlja rikola*.","**A colorful garden on dough** - tomato sauce, cheese, grilled zucchini, bell peppers, sweet corn, cherry tomatoes, and fresh wild arugula.","**面饼上的缤纷花园**——番茄酱、奶酪、香烤西葫芦、彩椒、甜玉米、樱桃番茄和新鲜野生芝麻菜。","10.00",pizza_vegetarian.jpg,0,true
35,Main,Pizza s ćevapima,Ćevapi Pizza,切瓦皮烤肉卷披萨,"**Jedinstveni spoj roštilja i pizze** - tanko tijesto prekriveno sirom, komadićima sočnih *ćevapa*, crvenim lukom, a nakon pečenja premazano bogatim *kajmakom* i ajvarom.","**A unique fusion of grill and pizza** - thin crust topped with cheese, juicy chunks of *ćevapi*, red onions, finished with rich *kajmak cream* and ajvar.","**烤肉与披萨的独特融合**——薄面饼上铺满奶酪、多汁的*克罗地亚烤肉卷（Ćevapi）碎*和红洋葱，出炉后抹上浓郁的*凯马克奶酪（Kajmak）*和爱瓦尔辣酱。","13.50",pizza_cevapi.jpg,0,false
36,Main,Pizza s lososom,Salmon Pizza,熏三文鱼吉士披萨,"**Gourmet riblja pizza** s blagim bijelim umakom, sirom, tankim listićima *dimljenog lososa*, kaparima i osvježavajućim koprom.","**Gourmet seafood pizza** with a mild white sauce, cheese, thin slices of *smoked salmon*, capers, and refreshing dill.","**美食家海鲜披萨**，配温和白酱、奶酪、熏三文鱼薄片、马刺齿乳香黄连木和清爽莳萝。","14.00",pizza_salmon.jpg,0,false
37,Main,Pizza s pršutom i lubenicom,Prosciutto & Watermelon Pizza,普修托火腿西瓜创意披萨,"**Odvažna ljetna kreacija** s umakom od rajčice, mozzarellom i slanim *jadranskim pršutom*, poslužena uz kockice slatke, hladne *svježe lubenice* i pokapana acetom balsamicom.","**A bold summer creation** with tomato sauce, mozzarella, and salty *adriatic prosciutto*, topped with cubes of sweet, chilled *fresh watermelon* and drizzled with balsamic glaze.","**大胆的夏季创意**披萨，配番茄酱、马苏里拉奶酪和咸味*亚得里亚普修托火腿*，上面铺着清甜冰镇的*新鲜西瓜丁*，并淋上巴萨米克醋膏。","14.50",pizza_prosciutto_watermelon.jpg,0,false
38,Main,Pizza s četiri vrste sira i grožđem,Four Cheese & Grape Pizza,四式干酪配鲜葡萄披萨,"**Sklad slanog i slatkog** - bogata kombinacija *mozzarelle, gorgonzole, parmezana i paškog sira*, posuta bobicama svježeg *slatkog grožđa* i orasima.","**A harmony of sweet and savory** - a rich blend of *mozzarella, gorgonzola, parmesan, and Pag sheep's cheese*, topped with fresh *sweet grape* berries and walnuts.","**甜咸交融的和谐风味**——*马苏里拉奶酪、戈贡佐拉蓝干酪、帕玛森奶酪和帕格羊奶酪*的浓郁组合，上面撒有新鲜的*甜葡萄*和核桃碎。","13.00",pizza_four_cheese_grapes.jpg,0,true
39,Main,Proljetna pizza,Spring Pizza,清新春季素什锦披萨,"**Lagana i osvježavajuća pizza** s umakom od rajčice, sirom, mladim šparogama, zelenim tikvicama, cherry rajčicama, svježim *mladim lukom* te mladim sirom.","**Light and refreshing spring pizza** with tomato sauce, cheese, baby asparagus, green zucchini, cherry tomatoes, fresh *spring onions*, and cottage cheese.","**清爽轻盈的春季披萨**，配番茄酱、奶酪、嫩芦笋、绿西葫芦、樱桃番茄、新鲜*春葱*和农家奶酪。","11.50",pizza_spring.jpg,0,true
